GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	251.639	130.839	0.448	0.470	NA	NA
DRD5	MUT	251.639	9.313	0.027	0.027	NA	NA
EGF	MUT	251.639	4.597	0.009	0.009	NA	NA
GRIN2A	MUT	251.639	7.226	0.024	0.024	NA	NA
PIK3CA	MUT	251.639	42.470	0.091	0.091	NA	NA
LAMB1	MUT	251.639	6.713	0.015	0.015	NA	NA
GLI3	MUT	251.639	11.497	0.018	0.018	NA	NA
MET	MUT	251.639	12.568	0.030	0.030	NA	NA
PTEN	MUT	251.639	98.049	0.290	0.314	NA	NA
SEC61G	AMPL	6.833	43.087	0.162	0.317	NA	NA
PCDHA9	DEL	3.897	0.307	0.024	0.024	NA	NA
