GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTN1	MUT	339.523	2.654	0.006	0.006	N	NA
EGFR	AMPL	339.523	131.644	0.393	0.393	Y	NA
FBLN2	MUT	339.523	4.881	0.018	0.018	N	NA
ITGAM	MUT	339.523	4.506	0.015	0.015	N	NA
LRP2	MUT	339.523	10.280	0.043	0.046	N	NA
AHR	MUT	339.523	3.141	0.009	0.021	N	NA
CDKN2A	DEL	339.523	108.256	0.448	0.470	Y	NA
CDKN2B	DEL	339.523	94.208	0.381	0.448	N	NA
HLA-DRB1	AMPL	339.523	47.596	0.189	0.189	N	NA
RELN	MUT	5.879	7.485	0.027	0.046	N	NA
CDH13	MUT	3.979	0.026	0.006	0.006	N	NA
PCDHAC2	MUT	3.979	1.356	0.101	0.101	N	NA
CACNA1B	MUT	3.117	1.189	0.015	0.015	N	NA
KLHL9	DEL	2.732	18.689	0.104	0.229	N	NA
