GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	425.599	130.839	0.448	0.470	NA	NA
PARP1	MUT	425.599	2.223	0.006	0.006	NA	NA
TP53	MUT	425.599	117.509	0.284	0.284	NA	NA
LAMC3	MUT	425.599	4.679	0.015	0.015	NA	NA
CDKN2B	DEL	425.599	112.472	0.381	0.448	NA	NA
KDR	AMPL	425.599	18.501	0.055	0.064	NA	NA
PDGFRA	MUT	425.599	19.236	0.055	0.055	NA	NA
KIT	AMPL	425.599	23.038	0.073	0.076	NA	NA
CACNA1C	MUT	21.292	0.969	0.012	0.015	NA	NA
CACNA1E	MUT	21.292	2.142	0.015	0.015	NA	NA
RYR2	MUT	21.292	13.062	0.052	0.079	NA	NA
PCDH11X	MUT	12.696	0.135	0.018	0.024	NA	NA
PCDHA8	AMPL	12.696	0.212	0.012	0.012	NA	NA
