GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ATM	MUT	458.612	7.442	0.018	0.018	NA	NA
CDKN2A	MUT	458.612	130.839	0.448	0.470	NA	NA
CHL1	MUT	458.612	3.799	0.015	0.021	NA	NA
MET	MUT	458.612	12.568	0.030	0.030	NA	NA
NOS3	MUT	458.612	12.526	0.027	0.027	NA	NA
PIK3CG	MUT	458.612	15.831	0.037	0.037	NA	NA
PIK3R1	MUT	458.612	39.309	0.091	0.091	NA	NA
TP53	MUT	458.612	117.509	0.284	0.284	NA	NA
VAV2	MUT	458.612	4.045	0.009	0.009	NA	NA
PRKDC	MUT	458.612	3.707	0.021	0.021	NA	NA
EP300	MUT	458.612	4.531	0.009	0.009	NA	NA
MSH6	MUT	458.612	6.481	0.015	0.018	NA	NA
COL6A3	MUT	458.612	12.686	0.034	0.034	NA	NA
FBLN1	MUT	458.612	2.842	0.009	0.012	NA	NA
FLI1	MUT	458.612	5.628	0.009	0.009	NA	NA
FN1	MUT	458.612	9.443	0.018	0.018	NA	NA
FGFR4	MUT	458.612	7.016	0.012	0.012	NA	NA
MYST4	MUT	458.612	4.516	0.012	0.030	NA	NA
KALRN	MUT	458.612	2.202	0.006	0.012	NA	NA
PDGFRB	MUT	458.612	2.903	0.009	0.012	NA	NA
