GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK2	MUT	290.505	11.084	0.030	0.030	NA	NA
BLM	MUT	290.505	0.886	0.003	0.003	NA	NA
CALM1	MUT	290.505	0.886	0.003	0.003	NA	NA
DNMT1	AMPL	290.505	2.209	0.006	0.006	NA	NA
EGFR	AMPL	290.505	154.156	0.393	0.393	NA	NA
CDKN2A	DEL	290.505	130.852	0.448	0.470	NA	NA
CDKN2B	DEL	290.505	112.492	0.381	0.448	NA	NA
DMD	MUT	290.505	13.022	0.027	0.040	NA	NA
HLA-DRB1	AMPL	290.505	63.110	0.189	0.189	NA	NA
TYK2	AMPL	290.505	1.897	0.012	0.012	NA	NA
RYR2	MUT	290.505	13.062	0.052	0.079	NA	NA
BSG	AMPL	290.505	3.697	0.006	0.006	NA	NA
CDH8	AMPL	3.425	0.032	0.006	0.006	NA	NA
PCDHGC5	MUT	3.425	1.089	0.107	0.110	NA	NA
KLHL9	DEL	3.313	22.596	0.104	0.229	NA	NA
