GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK2	MUT	227.331	1.608	0.009	0.030	N	NA
PDGFRA	AMPL	227.331	8.160	0.037	0.055	Y	NA
SYNJ2	MUT	227.331	1.227	0.006	0.009	N	NA
KIT	AMPL	227.331	8.544	0.052	0.076	Y	NA
CDC27	MUT	39.706	0.574	0.012	0.015	N	NA
SGCB	AMPL	39.706	0.121	0.003	0.024	N	NA
DDIT3	AMPL	14.407	0.071	0.006	0.073	Y	NA
APOB	MUT	7.029	0.365	0.024	0.040	N	NA
GNAT3	MUT	4.312	0.545	0.015	0.027	N	NA
DCTN2	AMPL_MUT	2.612	0.081	0.024	0.064	N	NA
