GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	274.000	92.887	0.412	0.470	Y	NA
CREBBP	MUT	274.000	2.350	0.012	0.015	Y	NA
EGFR	MUT	274.000	120.145	0.393	0.393	Y	NA
PRKY	DEL	274.000	28.244	0.159	0.195	N	NA
LRP1	MUT	274.000	3.521	0.012	0.034	N	NA
PIK3C2G	MUT	274.000	4.494	0.018	0.027	N	NA
KLC2	MUT	18.525	0.056	0.003	0.003	N	NA
LRRC7	MUT	7.437	0.183	0.012	0.015	N	NA
PCDH11Y	DEL	6.827	1.589	0.186	0.198	N	NA
ANK3	MUT	6.121	0.019	0.003	0.012	N	NA
